Date,"Streetwear"
2015-07-01,121
2015-07-02,103
2015-07-03,88
2015-07-04,100
2015-07-05,83
2015-07-06,125
2015-07-07,104
2015-07-08,133
2015-07-09,143
2015-07-10,111
2015-07-11,112
2015-07-12,111
2015-07-13,112
2015-07-14,154
2015-07-15,121
2015-07-16,109
2015-07-17,121
2015-07-18,79
2015-07-19,122
2015-07-20,149
2015-07-21,173
2015-07-22,111
2015-07-23,103
2015-07-24,105
2015-07-25,96
2015-07-26,114
2015-07-27,107
2015-07-28,122
2015-07-29,158
2015-07-30,111
2015-07-31,111
2015-08-01,127
2015-08-02,111
2015-08-03,122
2015-08-04,116
2015-08-05,136
2015-08-06,100
2015-08-07,116
2015-08-08,111
2015-08-09,83
2015-08-10,113
2015-08-11,157
2015-08-12,170
2015-08-13,119
2015-08-14,136
2015-08-15,129
2015-08-16,114
2015-08-17,129
2015-08-18,120
2015-08-19,154
2015-08-20,118
2015-08-21,117
2015-08-22,115
2015-08-23,106
2015-08-24,111
2015-08-25,145
2015-08-26,140
2015-08-27,142
2015-08-28,104
2015-08-29,98
2015-08-30,119
2015-08-31,111
2015-09-01,136
2015-09-02,160
2015-09-03,141
2015-09-04,140
2015-09-05,90
2015-09-06,109
2015-09-07,118
2015-09-08,136
2015-09-09,129
2015-09-10,121
2015-09-11,120
2015-09-12,105
2015-09-13,106
2015-09-14,115
2015-09-15,143
2015-09-16,137
2015-09-17,146
2015-09-18,111
2015-09-19,103
2015-09-20,117
2015-09-21,142
2015-09-22,136
2015-09-23,123
2015-09-24,114
2015-09-25,121
2015-09-26,93
2015-09-27,114
2015-09-28,146
2015-09-29,146
2015-09-30,121
2015-10-01,171
2015-10-02,140
2015-10-03,129
2015-10-04,108
2015-10-05,127
2015-10-06,139
2015-10-07,128
2015-10-08,122
2015-10-09,105
2015-10-10,89
2015-10-11,110
2015-10-12,158
2015-10-13,148
2015-10-14,138
2015-10-15,125
2015-10-16,116
2015-10-17,111
2015-10-18,138
2015-10-19,128
2015-10-20,148
2015-10-21,100
2015-10-22,139
2015-10-23,106
2015-10-24,100
2015-10-25,92
2015-10-26,140
2015-10-27,127
2015-10-28,108
2015-10-29,147
2015-10-30,116
2015-10-31,90
2015-11-01,126
2015-11-02,153
2015-11-03,136
2015-11-04,153
2015-11-05,116
2015-11-06,108
2015-11-07,88
2015-11-08,121
2015-11-09,146
2015-11-10,118
2015-11-11,109
2015-11-12,152
2015-11-13,95
2015-11-14,88
2015-11-15,120
2015-11-16,131
2015-11-17,129
2015-11-18,163
2015-11-19,119
2015-11-20,110
2015-11-21,109
2015-11-22,104
2015-11-23,130
2015-11-24,146
2015-11-25,135
2015-11-26,123
2015-11-27,126
2015-11-28,117
2015-11-29,121
2015-11-30,147
2015-12-01,145
2015-12-02,143
2015-12-03,127
2015-12-04,119
2015-12-05,114
2015-12-06,119
2015-12-07,153
2015-12-08,139
2015-12-09,183
2015-12-10,128
2015-12-11,122
2015-12-12,112
2015-12-13,142
2015-12-14,144
2015-12-15,156
2015-12-16,144
2015-12-17,147
2015-12-18,97
2015-12-19,89
2015-12-20,116
2015-12-21,107
2015-12-22,116
2015-12-23,102
2015-12-24,84
2015-12-25,89
2015-12-26,98
2015-12-27,115
2015-12-28,122
2015-12-29,169
2015-12-30,103
2015-12-31,90
2016-01-01,90
2016-01-02,107
2016-01-03,103
2016-01-04,121
2016-01-05,110
2016-01-06,124
2016-01-07,142
2016-01-08,135
2016-01-09,99
2016-01-10,111
2016-01-11,141
2016-01-12,157
2016-01-13,141
2016-01-14,124
2016-01-15,115
2016-01-16,107
2016-01-17,128
2016-01-18,153
2016-01-19,162
2016-01-20,167
2016-01-21,138
2016-01-22,131
2016-01-23,151
2016-01-24,123
2016-01-25,166
2016-01-26,148
2016-01-27,142
2016-01-28,169
2016-01-29,122
2016-01-30,116
2016-01-31,125
2016-02-01,143
2016-02-02,147
2016-02-03,135
2016-02-04,215
2016-02-05,167
2016-02-06,104
2016-02-07,112
2016-02-08,139
2016-02-09,162
2016-02-10,149
2016-02-11,131
2016-02-12,113
2016-02-13,99
2016-02-14,101
2016-02-15,161
2016-02-16,163
2016-02-17,187
2016-02-18,133
2016-02-19,132
2016-02-20,106
2016-02-21,143
2016-02-22,169
2016-02-23,157
2016-02-24,166
2016-02-25,124
2016-02-26,102
2016-02-27,110
2016-02-28,122
2016-02-29,169
2016-03-01,184
2016-03-02,158
2016-03-03,139
2016-03-04,158
2016-03-05,121
2016-03-06,132
2016-03-07,141
2016-03-08,155
2016-03-09,139
